name	brand_id	category_id	price	description	image_links
3/4 Overcoat	1	1	1600	This three quarter overcoat will protect you from the cold weather, wind and rain and will bring you unequalled design and singular elegance.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206098/Greg%20Pier/Categories/Coats/Overcoat/overcoat_1_ztud63.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206104/Greg%20Pier/Categories/Coats/Overcoat/overcoat_2_se7owr.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206113/Greg%20Pier/Categories/Coats/Overcoat/overcoat_3_mxblm9.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206085/Greg%20Pier/Categories/Coats/Overcoat/overcoat_4_scuoqz.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206166/Greg%20Pier/Categories/Coats/Overcoat/overcoat_5_vxtyha.png
Navy Grey Shawl Collar Cashmere Vest	1	2	990	Inspired by the raw and cold concrete of Tadao Ando, this design shawl collar vest made of cashmere is in perfect contrast to bring you softness and warmth.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206312/Greg%20Pier/Categories/Shawl%20Collection/Navy%20Grey%20Shawl%20Collar%20Cashmere%20Vest/navyShawl1_hi7buu.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206315/Greg%20Pier/Categories/Shawl%20Collection/Navy%20Grey%20Shawl%20Collar%20Cashmere%20Vest/navyShawl2_jdvwba.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206318/Greg%20Pier/Categories/Shawl%20Collection/Navy%20Grey%20Shawl%20Collar%20Cashmere%20Vest/navyShawl3_e7l1fs.jpg
Ecru Shawl Collar Cashmere Vest	1	2	990	Inspired by the raw and cold concrete of Tadao Ando, this design shawl collar vest made of cashmere is in perfect contrast to bring you softness and warmth.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206391/Greg%20Pier/Categories/Shawl%20Collection/Ecru%20Shawl%20Collar%20Cashmere%20Vest/ecruShawl1_yoerow.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206394/Greg%20Pier/Categories/Shawl%20Collection/Ecru%20Shawl%20Collar%20Cashmere%20Vest/ecruShawl2_nyyrua.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206397/Greg%20Pier/Categories/Shawl%20Collection/Ecru%20Shawl%20Collar%20Cashmere%20Vest/ecruShawl3_dn6vc9.jpg
Grey Taupe Shawl Collar Cashmere Vest	1	2	990	Inspired by the raw and cold concrete of Tadao Ando, this design shawl collar vest made of cashmere is in perfect contrast to bring you softness and warmth.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206486/Greg%20Pier/Categories/Shawl%20Collection/Grey%20Taupe%20Shawl%20Collar%20Cashmere%20Vest/greyShawl1_ourtdy.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206489/Greg%20Pier/Categories/Shawl%20Collection/Grey%20Taupe%20Shawl%20Collar%20Cashmere%20Vest/greyShawl2_x6mhpm.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206493/Greg%20Pier/Categories/Shawl%20Collection/Grey%20Taupe%20Shawl%20Collar%20Cashmere%20Vest/greyShawl3_dfqdov.png
Grey Square Neck Cashmere & Silk	1	3	490	Inspired by the architecture with its square collar, this magnificent cashmere & silk sweater will bring you warmth and comfort, ideal for autumn and early winter. 	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206802/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Grey%20Square%20Neck%20Cashmere%20Silk/greySweater1_nsolwi.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206808/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Grey%20Square%20Neck%20Cashmere%20Silk/greySweater2_kduqse.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206811/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Grey%20Square%20Neck%20Cashmere%20Silk/greySweater3_mzxpvk.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206815/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Grey%20Square%20Neck%20Cashmere%20Silk/greySweater4_xj8j34.jpg
Midnight Blue Square Neck Cashmere & Silk	1	3	490	Inspired by the architecture with its square collar, this magnificent cashmere & silk sweater will bring you warmth and comfort, ideal for autumn and early winter. 	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206916/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Midnight%20Blue%20Square%20Neck%20Cashmere%20Silk/blueSweater1_mg9dwf.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206941/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Midnight%20Blue%20Square%20Neck%20Cashmere%20Silk/blueSweater2_ytqsk2.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206965/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Midnight%20Blue%20Square%20Neck%20Cashmere%20Silk/blueSweater3_m0gvkx.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596206979/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Midnight%20Blue%20Square%20Neck%20Cashmere%20Silk/blueSweater4_cl0mmu.jpg
Blue Grey Square Neck Cashmere & Silk	1	3	490	Inspired by the architecture with its square collar, this magnificent cashmere & silk sweater will bring you warmth and comfort, ideal for autumn and early winter. 	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207073/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Blue%20Grey%20Square%20Neck%20Cashmere%20Silk/lBlueSweater1_vr6nmn.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207078/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Blue%20Grey%20Square%20Neck%20Cashmere%20Silk/lBlueSweater2_ehuzpp.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207083/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Blue%20Grey%20Square%20Neck%20Cashmere%20Silk/lBlueSweater3_moo8uk.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207087/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Blue%20Grey%20Square%20Neck%20Cashmere%20Silk/lBlueSweater4_ybnkbh.jpg
Purple Square Neck Cashmere & Silk	1	3	490	Inspired by the architecture with its square collar, this magnificent cashmere & silk sweater will bring you warmth and comfort, ideal for autumn and early winter. 	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207154/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Purple%20Square%20Neck%20Cashmere%20Silk/purpleSweater1_v51d5d.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207158/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Purple%20Square%20Neck%20Cashmere%20Silk/purpleSweater2_cp11ux.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207162/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Purple%20Square%20Neck%20Cashmere%20Silk/purpleSweater3_idmgkm.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207167/Greg%20Pier/Categories/Square%20Neck%20Sweaters/Purple%20Square%20Neck%20Cashmere%20Silk/purpleSweater4_mrbba1.jpg
Ecru Cashmere Scarf	1	4	250	This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207419/Greg%20Pier/Categories/Scarves/Ecru%20Cashmere%20Scarf/ecruScarf2_ivsslu.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207424/Greg%20Pier/Categories/Scarves/Ecru%20Cashmere%20Scarf/ecruScarf1_aks6vp.jpg
Blue Grey Cashmere Scarf	1	4	250	This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.	https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207470/Greg%20Pier/Categories/Scarves/Blue%20Grey%20Cashmere%20Scar/blueScarf2_xmuzdp.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207467/Greg%20Pier/Categories/Scarves/Blue%20Grey%20Cashmere%20Scar/blueScarf1_vyyddc.jpg
